Date,AdjustedVolume
2016-10-13,35192406.0
2016-10-12,37586787.0
2016-10-11,64041043.0
2016-10-10,36235956.0
2016-10-07,24358443.0
2016-10-06,28779313.0
2016-10-05,21453089.0
2016-10-04,29736835.0
2016-10-03,21701760.0
2016-09-30,36379106.0
2016-09-29,35886990.0
2016-09-28,29641085.0
2016-09-27,24607412.0
2016-09-26,29869442.0
2016-09-23,52481151.0
2016-09-22,31073984.0
2016-09-21,36003185.0
2016-09-20,34514269.0
2016-09-19,47023046.0
2016-09-16,79886911.0
2016-09-15,90613177.0
2016-09-14,112340318.0
2016-09-13,62176190.0
2016-09-12,45292770.0
2016-09-09,46556984.0
2016-09-08,53002026.0
2016-09-07,42364328.0
2016-09-06,26880391.0
2016-09-02,26802450.0
2016-09-01,26701523.0
2016-08-31,29662406.0
2016-08-30,24863945.0
2016-08-29,24970300.0
2016-08-26,27766291.0
2016-08-25,25086248.0
2016-08-24,23675081.0
2016-08-23,21257669.0
2016-08-22,25820230.0
2016-08-19,25368072.0
2016-08-18,21984703.0
2016-08-17,25355976.0
2016-08-16,33794448.0
2016-08-15,25868209.0
2016-08-12,18660434.0
2016-08-11,27484506.0
2016-08-10,24008505.0
2016-08-09,26315204.0
2016-08-08,28037220.0
2016-08-05,40553402.0
2016-08-04,27408650.0
2016-08-03,30202641.0
2016-08-02,33816556.0
2016-08-01,38167871.0
2016-07-29,27733688.0
2016-07-28,39869839.0
2016-07-27,92344820.0
2016-07-26,56239822.0
2016-07-25,40382921.0
2016-07-22,28313669.0
2016-07-21,32702028.0
2016-07-20,26275968.0
2016-07-19,23779924.0
2016-07-18,36493867.0
2016-07-15,30136990.0
2016-07-14,38918997.0
2016-07-13,25892171.0
2016-07-12,24167463.0
2016-07-11,23794945.0
2016-07-08,28912103.0
2016-07-07,25139558.0
2016-07-06,30949090.0
2016-07-05,27705210.0
2016-07-01,26026540.0
2016-06-30,35836356.0
2016-06-29,36531006.0
2016-06-28,40444914.0
2016-06-27,46622188.0
2016-06-24,75311356.0
2016-06-23,32240187.0
2016-06-22,29219122.0
2016-06-21,35546358.0
2016-06-20,34411901.0
2016-06-17,61008219.0
2016-06-16,31326815.0
2016-06-15,29445227.0
2016-06-14,31931944.0
2016-06-13,38020494.0
2016-06-10,31712936.0
2016-06-09,26601354.0
2016-06-08,20848131.0
2016-06-07,22409450.0
2016-06-06,23292504.0
2016-06-03,28504888.0
2016-06-02,40191600.0
2016-06-01,29173285.0
2016-05-31,42307212.0
2016-05-27,36341240.0
2016-05-26,56331159.0
2016-05-25,38642108.0
2016-05-24,35140174.0
2016-05-23,38018643.0
2016-05-20,32025968.0
2016-05-19,30442100.0
2016-05-18,42062391.0
2016-05-17,46916939.0
2016-05-16,61259756.0
2016-05-13,44392765.0
2016-05-12,76314690.0
2016-05-11,28719109.0
2016-05-10,33686836.0
2016-05-09,32936436.0
2016-05-06,43699886.0
2016-05-05,35890500.0
2016-05-04,41025475.0
2016-05-03,56831277.0
2016-05-02,48160104.0
2016-04-29,68531478.0
2016-04-28,82242690.0
2016-04-27,114602142.0
2016-04-26,56016165.0
2016-04-25,28031588.0
2016-04-22,33683121.0
2016-04-21,31552525.0
2016-04-20,30611030.0
2016-04-19,32384879.0
2016-04-18,60821461.0
2016-04-15,46938969.0
2016-04-14,25473923.0
2016-04-13,33257316.0
2016-04-12,27232325.0
2016-04-11,29407518.0
2016-04-08,23581740.0
2016-04-07,31801870.0
2016-04-06,26404077.0
2016-04-05,26578652.0
2016-04-04,37356204.0
2016-04-01,25873950.0
2016-03-31,25888449.0
2016-03-30,45601149.0
2016-03-29,31190083.0
2016-03-28,19411372.0
2016-03-24,26132955.0
2016-03-23,25703495.0
2016-03-22,32444375.0
2016-03-21,35502678.0
2016-03-18,44205171.0
2016-03-17,34420705.0
2016-03-16,38303493.0
2016-03-15,40067734.0
2016-03-14,25076062.0
2016-03-11,27408237.0
2016-03-10,33513577.0
2016-03-09,27201683.0
2016-03-08,31561889.0
2016-03-07,35915810.0
2016-03-04,46055100.0
2016-03-03,36955742.0
2016-03-02,33169560.0
2016-03-01,50407147.0
2016-02-29,35216277.0
2016-02-26,28991131.0
2016-02-25,27582659.0
2016-02-24,36255745.0
2016-02-23,31942633.0
2016-02-22,34280758.0
2016-02-19,35374173.0
2016-02-18,39020983.0
2016-02-17,44863243.0
2016-02-16,49057916.0
2016-02-12,40351381.0
2016-02-11,50074711.0
2016-02-10,42343601.0
2016-02-09,44331195.0
2016-02-08,54021375.0
2016-02-05,46418064.0
2016-02-04,46471652.0
2016-02-03,45964294.0
2016-02-02,37357215.0
2016-02-01,40943541.0
2016-01-29,64416504.0
2016-01-28,55678825.0
2016-01-27,133369674.0
2016-01-26,75077002.0
2016-01-25,51794525.0
2016-01-22,65800467.0
2016-01-21,52161463.0
2016-01-20,72334416.0
2016-01-19,53087747.0
2016-01-15,79833891.0
2016-01-14,63170127.0
2016-01-13,62439631.0
2016-01-12,49154227.0
2016-01-11,49739377.0
2016-01-08,70798016.0
2016-01-07,81094428.0
2016-01-06,68457388.0
2016-01-05,55790992.0
2016-01-04,67649387.0
2015-12-31,40912316.0
2015-12-30,25213777.0
2015-12-29,30931243.0
2015-12-28,26704210.0
2015-12-24,13596680.0
2015-12-23,32657354.0
2015-12-22,32789367.0
2015-12-21,47590610.0
2015-12-18,96453327.0
2015-12-17,44772827.0
2015-12-16,56238467.0
2015-12-15,53323105.0
2015-12-14,65003609.0
2015-12-11,46886161.0
2015-12-10,29212727.0
2015-12-09,46361357.0
2015-12-08,34309450.0
2015-12-07,32084249.0
2015-12-04,57776977.0
2015-12-03,41569509.0
2015-12-02,33386563.0
2015-12-01,34852374.0
2015-11-30,39180322.0
2015-11-27,13046445.0
2015-11-25,21388308.0
2015-11-24,42803172.0
2015-11-23,32482528.0
2015-11-20,34287096.0
2015-11-19,43295820.0
2015-11-18,46674697.0
2015-11-17,27616939.0
2015-11-16,38106701.0
2015-11-13,45812403.0
2015-11-12,32525579.0
2015-11-11,45217971.0
2015-11-10,59127931.0
2015-11-09,33871405.0
2015-11-06,33042283.0
2015-11-05,39552680.0
2015-11-04,44886050.0
2015-11-03,45518976.0
2015-11-02,32203267.0
2015-10-30,49365254.0
2015-10-29,51227334.0
2015-10-28,85551352.0
2015-10-27,69884400.0
2015-10-26,66333781.0
2015-10-23,59366914.0
2015-10-22,41654089.0
2015-10-21,42326974.0
2015-10-20,48967763.0
2015-10-19,29759153.0
2015-10-16,39232609.0
2015-10-15,37673452.0
2015-10-14,44462449.0
2015-10-13,33049256.0
2015-10-12,30467204.0
2015-10-09,52766140.0
2015-10-08,61979577.0
2015-10-07,46765550.0
2015-10-06,48856977.0
2015-10-05,52064743.0
2015-10-02,58019758.0
2015-10-01,63929100.0
2015-09-30,65041596.0
2015-09-29,73365384.0
2015-09-28,52109011.0
2015-09-25,56151926.0
2015-09-24,50219475.0
2015-09-23,35756716.0
2015-09-22,50346159.0
2015-09-21,50221965.0
2015-09-18,74285291.0
2015-09-17,64112641.0
2015-09-16,37173489.0
2015-09-15,43341155.0
2015-09-14,58363431.0
2015-09-11,49915473.0
2015-09-10,62892831.0
2015-09-09,85010804.0
2015-09-08,54843626.0
2015-09-04,49996311.0
2015-09-03,53233940.0
2015-09-02,61888812.0
2015-09-01,76845860.0
2015-08-31,56229271.0
2015-08-28,53164407.0
2015-08-27,84616056.0
2015-08-26,96774611.0
2015-08-25,103601599.0
2015-08-24,162206292.0
2015-08-21,128275471.0
2015-08-20,68501622.0
2015-08-19,48286510.0
2015-08-18,34560708.0
2015-08-17,40884745.0
2015-08-14,42929516.0
2015-08-13,48535789.0
2015-08-12,101685610.0
2015-08-11,97082814.0
2015-08-10,54951597.0
2015-08-07,38670405.0
2015-08-06,52903040.0
2015-08-05,99312613.0
2015-08-04,124138623.0
2015-08-03,69975968.0
2015-07-31,42884953.0
2015-07-30,33628268.0
2015-07-29,37011653.0
2015-07-28,33618097.0
2015-07-27,44455540.0
2015-07-24,42162332.0
2015-07-23,50999452.0
2015-07-22,115450607.0
2015-07-21,76756427.0
2015-07-20,58900203.0
2015-07-17,46164710.0
2015-07-16,36222447.0
2015-07-15,33649200.0
2015-07-14,31768139.0
2015-07-13,41440538.0
2015-07-10,61354474.0
2015-07-09,78595038.0
2015-07-08,60761614.0
2015-07-07,46946811.0
2015-07-06,28060431.0
2015-07-02,27210952.0
2015-07-01,30238811.0
2015-06-30,44370682.0
2015-06-29,49161427.0
2015-06-26,44066841.0
2015-06-25,31938100.0
2015-06-24,55280855.0
2015-06-23,30268863.0
2015-06-22,34039345.0
2015-06-19,54716887.0
2015-06-18,35407220.0
2015-06-17,32918071.0
2015-06-16,31494131.0
2015-06-15,43988946.0
2015-06-12,36886246.0
2015-06-11,35390887.0
2015-06-10,39087250.0
2015-06-09,56075420.0
2015-06-08,52674786.0
2015-06-05,35626800.0
2015-06-04,38450118.0
2015-06-03,30983542.0
2015-06-02,33667627.0
2015-06-01,32112797.0
2015-05-29,50884452.0
2015-05-28,30733309.0
2015-05-27,45833246.0
2015-05-26,70697560.0
2015-05-22,45595972.0
2015-05-21,39730364.0
2015-05-20,36454932.0
2015-05-19,44633240.0
2015-05-18,50882918.0
2015-05-15,38208034.0
2015-05-14,45203456.0
2015-05-13,34694235.0
2015-05-12,48160032.0
2015-05-11,42035757.0
2015-05-08,55550382.0
2015-05-07,43940895.0
2015-05-06,72141010.0
2015-05-05,49271416.0
2015-05-04,50988278.0
2015-05-01,58512638.0
2015-04-30,83195423.0
2015-04-29,63386083.0
2015-04-28,118923970.0
2015-04-27,96954207.0
2015-04-24,44525905.0
2015-04-23,45770902.0
2015-04-22,37654505.0
2015-04-21,32435057.0
2015-04-20,47054310.0
2015-04-17,51957046.0
2015-04-16,28368987.0
2015-04-15,28970419.0
2015-04-14,25524593.0
2015-04-13,36365123.0
2015-04-10,40187953.0
2015-04-09,32483974.0
2015-04-08,37329243.0
2015-04-07,35012268.0
2015-04-06,37193975.0
2015-04-02,32220131.0
2015-04-01,40621437.0
2015-03-31,42090553.0
2015-03-30,47099670.0
2015-03-27,39546151.0
2015-03-26,47572869.0
2015-03-25,51655177.0
2015-03-24,32842304.0
2015-03-23,37709674.0
2015-03-20,68695136.0
2015-03-19,45809490.0
2015-03-18,65270945.0
2015-03-17,51023104.0
2015-03-16,35874300.0
2015-03-13,51827283.0
2015-03-12,48362719.0
2015-03-11,68938974.0
2015-03-10,68856582.0
2015-03-09,88528487.0
2015-03-06,72842060.0
2015-03-05,56517146.0
2015-03-04,31666340.0
2015-03-03,37816283.0
2015-03-02,48096663.0
2015-02-27,62014847.0
2015-02-26,91287529.0
2015-02-25,74711746.0
2015-02-24,69228130.0
2015-02-23,70974110.0
2015-02-20,48948419.0
2015-02-19,37362381.0
2015-02-18,44891737.0
2015-02-17,63152405.0
2015-02-13,54272219.0
2015-02-12,74474466.0
2015-02-11,73561797.0
2015-02-10,62008506.0
2015-02-09,38889797.0
2015-02-06,43706567.0
2015-02-05,42246245.0
2015-02-04,70149743.0
2015-02-03,51915749.0
2015-02-02,62739100.0
2015-01-30,83745461.0
2015-01-29,84436432.0
2015-01-28,146477063.0
2015-01-27,95568749.0
2015-01-26,55614979.0
2015-01-23,46464828.0
2015-01-22,53796409.0
2015-01-21,48575897.0
2015-01-20,49899907.0
2015-01-16,78513345.0
2015-01-15,60013996.0
2015-01-14,48956588.0
2015-01-13,67091928.0
2015-01-12,49650790.0
2015-01-09,53699527.0
2015-01-08,59364547.0
2015-01-07,40105934.0
2015-01-06,65797116.0
2015-01-05,64285491.0
2015-01-02,53204626.0
2014-12-31,41403351.0
2014-12-30,29881477.0
2014-12-29,27598920.0
2014-12-26,33720951.0
2014-12-24,14479611.0
2014-12-23,26028419.0
2014-12-22,45167549.0
2014-12-19,88429770.0
